model_id,tag,inputs,output,options,bip_units,bip_price_usd,notes,description
fal-ai/flux-general,text-to-image,text,image,,output mega pixels,0.075,rounding up to nearest megapixel,"A versatile endpoint for the FLUX.1 [dev] model that supports multiple AI extensions including LoRA, ControlNet conditioning, and IP-Adapter integration, enabling comprehensive control over image generation through various guidance methods."
fal-ai/flux-general/differential-diffusion,image-to-image,image,image,,compute seconds,0.00125,,"A specialized FLUX endpoint combining differential diffusion control with LoRA, ControlNet, and IP-Adapter support, enabling precise, region-specific image transformations through customizable change maps."
fal-ai/flux-general/image-to-image,image-to-image,image,image,,mega pixels,0.075,rounding up to nearest megapixel,"FLUX General Image-to-Image is a versatile endpoint that transforms existing images with support for LoRA, ControlNet, and IP-Adapter extensions, enabling precise control over style transfer, modifications, and artistic variations through multiple guidance methods."
fal-ai/flux-general/inpainting,image-to-image,image,image,,mega pixels,0.075,rounding up to nearest megapixel,"FLUX General Inpainting is a versatile endpoint that enables precise image editing and completion, supporting multiple AI extensions including LoRA, ControlNet, and IP-Adapter for enhanced control over inpainting results and sophisticated image modifications."
fal-ai/flux-general/rf-inversion,image-to-image,image,image,,compute seconds,0.00125,,"A general purpose endpoint for the FLUX.1 [dev] model, implementing the RF-Inversion pipeline. This can be used to edit a reference image based on a prompt."
fal-ai/flux-kontext-lora,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,"Fast endpoint for the FLUX.1 Kontext [dev] model with LoRA support, enabling rapid and high-quality image editing using pre-trained LoRA adaptations for specific styles, brand identities, and product-specific outputs."
fal-ai/flux-kontext-lora/inpaint,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,"Fast inpainting endpoint for the FLUX.1 Kontext [dev] model with LoRA support, enabling rapid and high-quality image inpainting with reference images, while using pre-trained LoRA adaptations for specific styles, brand identities, and product-specific outputs."
fal-ai/flux-kontext-lora/text-to-image,text-to-image,text,image,,output mega pixels,0.035,,"Super fast text-to-image endpoint for the FLUX.1 Kontext [dev] model with LoRA support, enabling rapid and high-quality image generation using pre-trained LoRA adaptations for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux-kontext-trainer,training,,model,,kilo steps,2.5,,LoRA trainer for FLUX.1 Kontext [dev]
fal-ai/flux-kontext/dev,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,Frontier image editing model.
fal-ai/flux-krea-lora,text-to-image,text,image,,output mega pixels,0.035,rounding up to nearest megapixel,"Super fast endpoint for the FLUX.1 [dev] model with LoRA support, enabling rapid and high-quality image generation using pre-trained LoRA adaptations for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux-krea-lora/image-to-image,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,"FLUX LoRA Image-to-Image is a high-performance endpoint that transforms existing images using FLUX models, leveraging LoRA adaptations to enable rapid and precise image style transfer, modifications, and artistic variations."
fal-ai/flux-krea-lora/inpainting,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,"Super fast endpoint for the FLUX.1 [dev] inpainting model with LoRA support, enabling rapid and high-quality image inpaingting using pre-trained LoRA adaptations for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux-krea-lora/stream,text-to-image,text,image,,output mega pixels,0.035,,"Super fast endpoint for the FLUX.1 [dev] model with LoRA support, enabling rapid and high-quality image generation using pre-trained LoRA adaptations for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux-krea-trainer,training,,model,,run,2,,"Train styles, people and other subjects at blazing speeds using the FLUX.1 Krea [dev] base model."
fal-ai/flux-lora,text-to-image,text,image,,output mega pixels,0.035,rounding up to nearest megapixel,"Super fast endpoint for the FLUX.1 [dev] model with LoRA support, enabling rapid and high-quality image generation using pre-trained LoRA adaptations for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux-lora-canny,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,"Utilize Flux.1 [dev] Controlnet to generate high-quality images with precise control over composition, style, and structure through advanced edge detection and guidance mechanisms."
fal-ai/flux-lora-depth,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,Generate high-quality images from depth maps using Flux.1 [dev] depth estimation model. The model produces accurate depth representations for scene understanding and 3D visualization.
fal-ai/flux-lora-fast-training,training,,model,,run,2,,"Train styles, people and other subjects at blazing speeds."
fal-ai/flux-lora-fill,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,"FLUX.1 [dev] Fill is a high-performance endpoint for the FLUX.1 [pro] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-lora-portrait-trainer,training,,model,,steps,0.0024,min 1000 units,"FLUX LoRA training optimized for portrait generation, with bright highlights, excellent prompt following and highly detailed results."
fal-ai/flux-lora/image-to-image,image-to-image,image,image,,mega pixels,0.035,rounding up to nearest megapixel,"FLUX LoRA Image-to-Image is a high-performance endpoint that transforms existing images using FLUX models, leveraging LoRA adaptations to enable rapid and precise image style transfer, modifications, and artistic variations."
fal-ai/flux-lora/inpainting,text-to-image,text,image,,output mega pixels,0.035,rounding up to nearest megapixel,"Super fast endpoint for the FLUX.1 [dev] inpainting model with LoRA support, enabling rapid and high-quality image inpaingting using pre-trained LoRA adaptations for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux-lora/stream,text-to-image,text,image,,output mega pixels,0.035,,"Super fast endpoint for the FLUX.1 [dev] model with LoRA support, enabling rapid and high-quality image generation using pre-trained LoRA adaptations for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux-pro-trainer,training,,model,"<150
150-500
>500",iterations,"2
4
6",,FLUX LoRA for Pro endpoints.
fal-ai/flux-pro/kontext,image-to-image,image,image,,run,0.04,,"FLUX.1 Kontext [pro] handles both text and reference images as inputs, seamlessly enabling targeted, local edits and complex transformations of entire scenes."
fal-ai/flux-pro/kontext/max,image-to-image,image,image,,run,0.08,,FLUX.1 Kontext [max] is a model with greatly improved prompt adherence and typography generation meet premium consistency for editing without compromise on speed.
fal-ai/flux-pro/kontext/max/multi,image-to-image,image,image,,run,0.08,,Experimental version of FLUX.1 Kontext [max] with multi image handling capabilities
fal-ai/flux-pro/kontext/max/text-to-image,text-to-image,text,image,,run,0.08,,FLUX.1 Kontext [max] text-to-image is a new premium model brings maximum performance across all aspects – greatly improved prompt adherence.
fal-ai/flux-pro/kontext/multi,image-to-image,image,image,,run,0.04,,Experimental version of FLUX.1 Kontext [pro] with multi image handling capabilities
fal-ai/flux-pro/kontext/text-to-image,text-to-image,text,image,,run,0.04,,"The FLUX.1 Kontext [pro] text-to-image delivers state-of-the-art image generation results with unprecedented prompt following, photorealistic rendering, and flawless typography."
fal-ai/flux-pro/new,text-to-image,text,image,,output mega pixels,0.05,rounding up to nearest megapixel,"FLUX.1 [pro] new is an accelerated version of FLUX.1 [pro], maintaining professional-grade image quality while delivering significantly faster generation speeds."
fal-ai/flux-pro/v1.1,text-to-image,text,image,,output mega pixels,0.04,rounding up to nearest megapixel,"FLUX1.1 [pro] is an enhanced version of FLUX.1 [pro], improved image generation capabilities, delivering superior composition, detail, and artistic fidelity compared to its predecessor."
fal-ai/flux-pro/v1.1-ultra,text-to-image,text,image,,output mega pixels,0.06,,"FLUX1.1 [pro] ultra is the newest version of FLUX1.1 [pro], maintaining professional-grade image quality while delivering up to 2K resolution with improved photo realism."
fal-ai/flux-pro/v1.1-ultra-finetuned,text-to-image,text,image,,output mega pixels,0.07,rounding up to nearest megapixel,"FLUX1.1 [pro] ultra fine-tuned is the newest version of FLUX1.1 [pro] with a fine-tuned LoRA, maintaining professional-grade image quality while delivering up to 2K resolution with improved photo realism."
fal-ai/flux-pro/v1.1-ultra/redux,image-to-image,image,image,,mega pixels,0.05,rounding up to nearest megapixel,"FLUX1.1 [pro] ultra Redux is a high-performance endpoint for the FLUX1.1 [pro] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-pro/v1.1/redux,image-to-image,image,image,,mega pixels,0.05,rounding up to nearest megapixel,"FLUX1.1 [pro] Redux is a high-performance endpoint for the FLUX1.1 [pro] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-pro/v1/canny,image-to-image,image,image,,mega pixels,0.05,rounding up to nearest megapixel,"Utilize Flux.1 [pro] Controlnet to generate high-quality images with precise control over composition, style, and structure through advanced edge detection and guidance mechanisms."
fal-ai/flux-pro/v1/canny-finetuned,image-to-image,image,image,,mega pixels,0.06,,"Utilize Flux.1 [pro] Controlnet with a fine-tuned LoRA to generate high-quality images with precise control over composition, style, and structure through advanced edge detection and guidance mechanisms."
fal-ai/flux-pro/v1/depth,image-to-image,image,image,,mega pixels,0.05,rounding up to nearest megapixel,Generate high-quality images from depth maps using Flux.1 [pro] depth estimation model. The model produces accurate depth representations for scene understanding and 3D visualization.
fal-ai/flux-pro/v1/depth-finetuned,image-to-image,image,image,,mega pixels,0.06,,Generate high-quality images from depth maps using Flux.1 [pro] depth estimation model with a fine-tuned LoRA. The model produces accurate depth representations for scene understanding and 3D visualization.
fal-ai/flux-pro/v1/fill,image-to-image,image,image,,mega pixels,0.05,rounding up to nearest megapixel,"FLUX.1 [pro] Fill is a high-performance endpoint for the FLUX.1 [pro] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-pro/v1/fill-finetuned,image-to-image,image,image,,mega pixels,0.06,,"FLUX.1 [pro] Fill Fine-tuned is a high-performance endpoint for the FLUX.1 [pro] model with a fine-tuned LoRA that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-pro/v1/redux,image-to-image,image,image,,mega pixels,0.05,rounding up to nearest megapixel,"FLUX.1 [pro] Redux is a high-performance endpoint for the FLUX.1 [pro] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux-pulid,image-to-image,image,image,,mega pixels,0.0333,rounding up to nearest megapixel,An endpoint for personalized image generation using Flux as per given description.
fal-ai/flux-subject,text-to-image,text,image,,output mega pixels,0.04,rounding up to nearest megapixel,"Super fast endpoint for the FLUX.1 [schnell] model with subject input capabilities, enabling rapid and high-quality image generation for personalization, specific styles, brand identities, and product-specific outputs."
fal-ai/flux/dev,text-to-image,text,image,,output mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 [dev] is a 12 billion parameter flow transformer that generates high-quality images from text. It is suitable for personal and commercial use.
fal-ai/flux/dev/image-to-image,image-to-image,image,image,,mega pixels,0.03,rounding up to nearest megapixel,"FLUX.1 Image-to-Image is a high-performance endpoint for the FLUX.1 [dev] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux/dev/redux,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,"FLUX.1 [dev] Redux is a high-performance endpoint for the FLUX.1 [dev] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux/krea,text-to-image,text,image,,output mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/flux/krea/image-to-image,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/flux/krea/redux,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,"FLUX.1 Krea [dev] Redux is a high-performance endpoint for the FLUX.1 Krea [dev] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux/schnell,text-to-image,text,image,,output mega pixels,0.003,rounding up to nearest megapixel,"FLUX.1 [schnell] is a 12 billion parameter flow transformer that generates high-quality images from text in 1 to 4 steps, suitable for personal and commercial use."
fal-ai/flux/schnell/redux,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,"FLUX.1 [schnell] Redux is a high-performance endpoint for the FLUX.1 [schnell] model that enables rapid transformation of existing images, delivering high-quality style transfers and image modifications with the core FLUX capabilities."
fal-ai/flux/srpo,text-to-image,text,image,,output mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/flux/srpo/image-to-image,image-to-image,image,image,,mega pixels,0.025,rounding up to nearest megapixel,FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.
fal-ai/fooocus,text-to-image,text,image,,compute seconds,0.00111,,Default parameters with automated optimizations and quality improvements.
fal-ai/fooocus/image-prompt,text-to-image,text,image,,compute seconds,0.00111,,Default parameters with automated optimizations and quality improvements.
fal-ai/fooocus/inpaint,text-to-image,text,image,,compute seconds,0.00111,,Default parameters with automated optimizations and quality improvements.
fal-ai/fooocus/upscale-or-vary,text-to-image,text,image,,compute seconds,0.00111,,Default parameters with automated optimizations and quality improvements.
fal-ai/framepack,image-to-video,image,video,,output seconds,0.0333,,Framepack is an efficient Image-to-video model that autoregressively generates videos.
fal-ai/framepack/f1,image-to-video,image,video,,output seconds,0.0333,,Framepack is an efficient Image-to-video model that autoregressively generates videos.
fal-ai/framepack/flf2v,image-to-video,image,video,,output seconds,0.0333,,Framepack is an efficient Image-to-video model that autoregressively generates videos.
fal-ai/gemini-25-flash-image,text-to-image,text,image,,run,0.039,,Nano Banana is Google's state-of-the-art image generation and editing model
fal-ai/gemini-25-flash-image/edit,image-to-image,image,image,,run,0.039,,Gemini 2.5 Flash Image is Google's state-of-the-art image generation and editing model
fal-ai/gemini-flash-edit,image-to-image,image,image,,run,0.04,,Gemini Flash Edit is a model that can edit single image using a text prompt and a reference image.
fal-ai/gemini-flash-edit/multi,image-to-image,image,image,,run,0.04,,Gemini Flash Edit Multi Image is a model that can edit multiple images using a text prompt and a reference image.
fal-ai/ghiblify,image-to-image,image,image,,run,0.05,,Reimagine and transform your ordinary photos into enchanting Studio Ghibli style artwork
fal-ai/got-ocr/v2,vision,image,json,,run,0.05,,"GOT-OCR2 works on a wide range of tasks, including plain document OCR, scene text OCR, formatted document OCR, and even OCR for tables, charts, mathematical formulas, geometric shapes, molecular formulas and sheet music."
fal-ai/hidream-e1-1,image-to-image,image,image,,run,0.06,,Edit images with natural language
fal-ai/hidream-i1-dev,text-to-image,text,image,,output mega pixels,0.03,,HiDream-I1 dev is a new open-source image generative foundation model with 17B parameters that achieves state-of-the-art image generation quality within seconds.
fal-ai/hidream-i1-fast,text-to-image,text,image,,output mega pixels,0.01,,HiDream-I1 fast is a new open-source image generative foundation model with 17B parameters that achieves state-of-the-art image generation quality within 16 steps.
fal-ai/hidream-i1-full,text-to-image,text,image,,output mega pixels,0.05,,HiDream-I1 full is a new open-source image generative foundation model with 17B parameters that achieves state-of-the-art image generation quality within seconds.
fal-ai/hidream-i1-full/image-to-image,image-to-image,image,image,,mega pixels,0.05,,HiDream-I1 full is a new open-source image generative foundation model with 17B parameters that achieves state-of-the-art image generation quality within seconds.
fal-ai/hunyuan_world,image-to-image,image,image,,run,0.15,,"Hunyuan World 1.0 turns a single image into a panorama or a 3D world. It creates realistic scenes from the image, allowing you to explore and view it from different angles."
fal-ai/hunyuan_world/image-to-world,image-to-3d,image,3d,,run,0.3,,"Hunyuan World 1.0 turns a single image into a panorama or a 3D world. It creates realistic scenes from the image, allowing you to explore and view it from different angles."
fal-ai/hunyuan-avatar,image-to-video,image,video,,output seconds,0.28,min 5 units?,HunyuanAvatar is a High-Fidelity Audio-Driven Human Animation model for Multiple Characters .
fal-ai/hunyuan-custom,image-to-video,image,video,"512p
720p",run,"0.8
2.4",,"HunyuanCustom revolutionizes video generation with unmatched identity consistency across multiple input types. Its innovative fusion modules and alignment networks outperform competitors, maintaining subject integrity while responding flexibly to text, image, audio, and video conditions."
fal-ai/hunyuan-image/v2.1/text-to-image,text-to-image,text,image,,output mega pixels,0.1,,Use the amazing capabilities of hunyuan image 2.1 to generate images that express the feelings of your text.
fal-ai/hunyuan-image/v3/text-to-image,text-to-image,text,image,,output mega pixels,0.1,,Leverage the state-of-the-art capabilities of Hunyuan Image 3.0 to generate visual content that effectively conveys the messaging of your written material.
fal-ai/hunyuan-portrait,image-to-video,image,video,,output seconds,0.08,"minimum 5 units? also price per second appears wrong, either 0.8 or 0.18 or 0.08??","HunyuanPortrait is a diffusion-based framework for generating lifelike, temporally consistent portrait animations."
fal-ai/hunyuan-video,text-to-video,text,video,,run,0.4,,"Hunyuan Video is an Open video generation model with high visual quality, motion diversity, text-video alignment, and generation stability. This endpoint generates videos from text descriptions."
fal-ai/hunyuan-video-foley,video-to-video,video,video,,output seconds,0.01,,Use the capabilities of the hunyuan foley model to bring life to your videos by adding sound effect to them.
fal-ai/hunyuan-video-image-to-video,image-to-video,image,video,,run,0.4,,Image to Video for the high-quality Hunyuan Video I2V model.
fal-ai/hunyuan-video-img2vid-lora,image-to-video,image,video,,run,0.3,,Image to Video for the Hunyuan Video model using a custom trained LoRA.
fal-ai/hunyuan-video-lora,text-to-video,text,video,,run,0.4,,"Hunyuan Video is an Open video generation model with high visual quality, motion diversity, text-video alignment, and generation stability"
fal-ai/hunyuan-video-lora-training,training,,model,,kilo steps,5,kilosteps or unit or what?,"Train Hunyuan Video lora on people, objects, characters and more!"
fal-ai/hunyuan-video-lora/video-to-video,video-to-video,video,video,,compute seconds,0.00125,,"Hunyuan Video is an Open video generation model with high visual quality, motion diversity, text-video alignment, and generation stability. Use this endpoint to generate videos from videos."
fal-ai/hunyuan-video/video-to-video,video-to-video,video,video,,compute seconds,0.00125,,"Hunyuan Video is an Open video generation model with high visual quality, motion diversity, text-video alignment, and generation stability. Use this endpoint to generate videos from videos."
fal-ai/hunyuan3d-v21,image-to-3d,image,3d,,run,0.3,,Hunyuan3D-2.1 is a scalable 3D asset creation system that advances state-of-the-art 3D generation through Physically-Based Rendering (PBR).
fal-ai/hunyuan3d/v2,image-to-3d,image,3d,,run,0.16,,Generate 3D models from your images using Hunyuan 3D. A native 3D generative model enabling versatile and high-quality 3D asset creation.
fal-ai/hunyuan3d/v2/mini,image-to-3d,image,3d,,run,0.1,,Generate 3D models from your images using Hunyuan 3D. A native 3D generative model enabling versatile and high-quality 3D asset creation.
fal-ai/hunyuan3d/v2/mini/turbo,image-to-3d,image,3d,,run,0.08,,Generate 3D models from your images using Hunyuan 3D. A native 3D generative model enabling versatile and high-quality 3D asset creation.
fal-ai/hunyuan3d/v2/multi-view,image-to-3d,image,3d,,run,0.017,,Generate 3D models from your images using Hunyuan 3D. A native 3D generative model enabling versatile and high-quality 3D asset creation.
fal-ai/hunyuan3d/v2/multi-view/turbo,image-to-3d,image,3d,,run,0.015,,Generate 3D models from your images using Hunyuan 3D. A native 3D generative model enabling versatile and high-quality 3D asset creation.
fal-ai/hunyuan3d/v2/turbo,image-to-3d,image,3d,,run,0.14,,Generate 3D models from your images using Hunyuan 3D. A native 3D generative model enabling versatile and high-quality 3D asset creation.
fal-ai/hyper-sdxl,text-to-image,text,image,,compute seconds,0.00111,,Hyper-charge SDXL's performance and creativity.
fal-ai/hyper-sdxl/image-to-image,image-to-image,image,image,,compute seconds,0.00111,,Hyper-charge SDXL's performance and creativity.
fal-ai/hyper-sdxl/inpainting,image-to-image,image,image,,compute seconds,0.00111,,Hyper-charge SDXL's performance and creativity.
fal-ai/hyper3d/rodin,image-to-3d,image,3d,,run,0.4,,Rodin by Hyper3D generates realistic and production ready 3D models from text or images.
fal-ai/hyper3d/rodin/v2,image-to-3d,image,3d,,run,0.4,,Rodin by Hyper3D generates realistic and production ready 3D models from text or images.
fal-ai/iclight-v2,image-to-image,image,image,,mega pixels,0.1,,An endpoint for re-lighting photos and changing their backgrounds per a given description
fal-ai/ideogram/character,image-to-image,image,image,"turbo
balanced
quality",run,"0.1
0.15
0.2",,"Generate consistent character appearances across multiple images. Maintain facial features, proportions, and distinctive traits for cohesive storytelling and branding"
fal-ai/ideogram/character/edit,image-to-image,image,image,"turbo
balanced
quality",run,"0.1
0.15
0.2",,"Modify consistent characters while preserving their core identity. Edit poses, expressions, or clothing without losing recognizable character features"
fal-ai/ideogram/character/remix,image-to-image,image,image,"turbo
balanced
quality",run,"0.1
0.15
0.2",,"Transform your consistent character into different art styles, settings, or scenarios while maintaining their distinctive appearance and identity"
fal-ai/ideogram/upscale,image-to-image,image,image,,run,0.06,,Ideogram Upscale enhances the resolution of the reference image by up to 2X and might enhance the reference image too. Optionally refine outputs with a prompt for guided improvements.
fal-ai/ideogram/v2,text-to-image,text,image,,run,0.08,,"Generate high-quality images, posters, and logos with Ideogram V2. Features exceptional typography handling and realistic outputs optimized for commercial and creative use."
fal-ai/ideogram/v2/edit,image-to-image,image,image,,run,0.08,,"Transform existing images with Ideogram V2's editing capabilities. Modify, adjust, and refine images while maintaining high fidelity and realistic outputs with precise prompt control."
fal-ai/ideogram/v2/remix,image-to-image,image,image,,run,0.08,,Reimagine existing images with Ideogram V2's remix feature. Create variations and adaptations while preserving core elements and adding new creative directions through prompt guidance.
fal-ai/ideogram/v2/turbo,text-to-image,text,image,,run,0.05,,"Accelerated image generation with Ideogram V2 Turbo. Create high-quality visuals, posters, and logos with enhanced speed while maintaining Ideogram's signature quality."
fal-ai/ideogram/v2/turbo/edit,image-to-image,image,image,,run,0.05,,Edit images faster with Ideogram V2 Turbo. Quick modifications and adjustments while preserving the high-quality standards and realistic outputs of Ideogram.
fal-ai/ideogram/v2/turbo/remix,image-to-image,image,image,,run,0.05,,Rapidly create image variations with Ideogram V2 Turbo Remix. Fast and efficient reimagining of existing images while maintaining creative control through prompt guidance.
fal-ai/ideogram/v2a,text-to-image,text,image,,run,0.04,,"Generate high-quality images, posters, and logos with Ideogram V2A. Features exceptional typography handling and realistic outputs optimized for commercial and creative use."
fal-ai/ideogram/v2a/remix,image-to-image,image,image,,run,0.04,,Create variations of existing images with Ideogram V2A Remix while maintaining creative control through prompt guidance.
fal-ai/ideogram/v2a/turbo,text-to-image,text,image,,run,0.025,,"Accelerated image generation with Ideogram V2A Turbo. Create high-quality visuals, posters, and logos with enhanced speed while maintaining Ideogram's signature quality."
fal-ai/ideogram/v2a/turbo/remix,image-to-image,image,image,,run,0.025,,Rapidly create image variations with Ideogram V2A Turbo Remix. Fast and efficient reimagining of existing images while maintaining creative control through prompt guidance.
fal-ai/ideogram/v3,text-to-image,text,image,"turbo
balanced
quality",run,"0.03
0.06
0.09",,"Generate high-quality images, posters, and logos with Ideogram V3. Features exceptional typography handling and realistic outputs optimized for commercial and creative use."
fal-ai/ideogram/v3/edit,image-to-image,image,image,"turbo
balanced
quality",run,"0.03
0.06
0.09",,"Transform existing images with Ideogram V3's editing capabilities. Modify, adjust, and refine images while maintaining high fidelity and realistic outputs with precise prompt control."
fal-ai/ideogram/v3/reframe,image-to-image,image,image,"turbo
balanced
quality",run,"0.03
0.06
0.09",,Extend existing images with Ideogram V3's reframe feature. Create expanded versions and adaptations while preserving main image and adding new creative directions through prompt guidance.
fal-ai/ideogram/v3/remix,image-to-image,image,image,"turbo
balanced
quality",run,"0.03
0.06
0.09",,Reimagine existing images with Ideogram V3's remix feature. Create variations and adaptations while preserving core elements and adding new creative directions through prompt guidance.
fal-ai/ideogram/v3/replace-background,image-to-image,image,image,"turbo
balanced
quality",run,"0.03
0.06
0.09",,Replace backgrounds existing images with Ideogram V3's replace background feature. Create variations and adaptations while preserving core elements and adding new creative directions through prompt guidance.
fal-ai/illusion-diffusion,text-to-image,text,image,,compute seconds,0.00111,,Create illusions conditioned on image.
fal-ai/image-apps-v2/age-modify,image-to-image,image,image,,run,0.04,,Modify a face to look younger or older while keeping identity realistic.
fal-ai/image-apps-v2/city-teleport,image-to-image,image,image,,run,0.04,,Place a person’s photo into iconic cities worldwide.
fal-ai/image-apps-v2/expression-change,image-to-image,image,image,,run,0.04,,Change facial expressions in photos with realistic results.
fal-ai/image-apps-v2/hair-change,image-to-image,image,image,,run,0.04,,Change hairstyles and hair colors in photos realistically.
fal-ai/image-apps-v2/headshot-photo,image-to-image,image,image,,run,0.04,,Generate professional headshot photos with customizable backgrounds.
fal-ai/image-apps-v2/makeup-application,image-to-image,image,image,,run,0.04,,Apply realistic makeup styles with adjustable intensity.
fal-ai/image-apps-v2/object-removal,image-to-image,image,image,,run,0.04,,Remove unwanted objects seamlessly from any image.
fal-ai/image-apps-v2/perspective,image-to-image,image,image,,run,0.04,,Easily adjust the perspective of any image to different angles.
fal-ai/image-apps-v2/photo-restoration,image-to-image,image,image,,run,0.04,,"Restore old or damaged photos by fixing colors, scratches, and resolution."
fal-ai/image-apps-v2/photography-effects,image-to-image,image,image,,run,0.4,,Apply diverse photography styles and effects to transform your images.
fal-ai/image-apps-v2/portrait-enhance,image-to-image,image,image,,run,0.4,,Enhance and refine portrait photos with improved clarity and detail.
fal-ai/image-apps-v2/product-holding,image-to-image,image,image,,run,0.04,,Place products naturally in a person’s hands for realistic marketing visuals.
fal-ai/image-apps-v2/product-photography,image-to-image,image,image,,run,0.04,,Generate professional product photography with realistic lighting and backgrounds.
fal-ai/image-apps-v2/relighting,image-to-image,image,image,,run,0.04,,Adjust and enhance images with different lighting styles.
fal-ai/image-apps-v2/style-transfer,image-to-image,image,image,,run,0.04,,"Apply artistic styles like impressionism, cubism, or surrealism to your images."
fal-ai/image-apps-v2/texture-transform,image-to-image,image,image,,run,0.04,,"Transform objects with different surface textures like marble, wood, or fabric."
fal-ai/image-apps-v2/virtual-try-on,image-to-image,image,image,,run,0.04,,Try on clothes virtually by combining person and clothing images.
fal-ai/image-editing/age-progression,image-to-image,image,image,,run,0.04,,"See how you or others might look at different ages, from younger to older, while preserving core facial features."
fal-ai/image-editing/baby-version,image-to-image,image,image,,run,0.04,,"Transform any person into their baby version, while preserving the original pose and expression with childlike features."
fal-ai/image-editing/background-change,image-to-image,image,image,,run,0.04,,"Replace your photo's background with any scene you desire, from beach sunsets to urban landscapes, with perfect lighting and shadows"
fal-ai/image-editing/broccoli-haircut,image-to-image,image,image,,run,0.04,,Transform your character's hair into broccoli style while keeping the original characters likeness
fal-ai/image-editing/cartoonify,image-to-image,image,image,,run,0.04,,Transform your photos into vibrant cool cartoons with bold outlines and rich colors.
fal-ai/image-editing/color-correction,image-to-image,image,image,,run,0.04,,"Perfect your photos with professional color grading, balanced tones, and vibrant yet natural colors"
fal-ai/image-editing/expression-change,image-to-image,image,image,,run,0.04,,"Change facial expressions in photos to any emotion you desire, from smiles to serious looks."
fal-ai/image-editing/face-enhancement,image-to-image,image,image,,run,0.04,,"Enhance facial features with professional retouching while maintaining a natural, realistic look"
fal-ai/image-editing/hair-change,image-to-image,image,image,,run,0.04,,"Experiment with different hairstyles, from bald to any style you can imagine, while maintaining natural lighting and realistic results."
fal-ai/image-editing/object-removal,image-to-image,image,image,,run,0.04,,Remove unwanted objects or people from your photos while seamlessly blending the background.
fal-ai/image-editing/photo-restoration,image-to-image,image,image,,run,0.04,,"Restore and enhance old or damaged photos by removing imperfections, adding color while preserving the original character and details of the image."
fal-ai/image-editing/plushie-style,image-to-image,image,image,,run,0.04,,Transform your photos into cool plushies while keeping the original characters likeness
fal-ai/image-editing/professional-photo,image-to-image,image,image,,run,0.04,,Turn your casual photos into stunning professional studio portraits with perfect lighting and high-end photography style.
fal-ai/image-editing/realism,image-to-image,image,image,,run,0.04,,"Add details to faces, enhance face features, remove blur."
